Trait	Supercluster	dataset_name	Supercluster_ID	P	P.fdr	BETA	SE	Enrichment	Coefficient_z-score	if.sig.fdr	disorder_type	minuslog10P
volume_accumbens	Amygdala excitatory	accumbens	Amygdala_excitatory	0.85767810274925	0.990305421974703	-6.69564017296968e-09	6.25792577949317e-09	0.931424724443534	-1.06994560320784	no	structural MRI	0.0666756776879613
volume_accumbens	Astrocyte	accumbens	Astrocyte	0.940440825206881	0.990305421974703	-1.21540578965774e-08	7.79863703264032e-09	1.14200608083589	-1.55848487956395	no	structural MRI	0.0266685261047059
volume_accumbens	Bergmann glia	accumbens	Bergmann_glia	0.458452322667573	0.990305421974703	7.66181973168432e-10	7.34358115552378e-09	1.44071279632041	0.104333561098064	no	structural MRI	0.338705822652675
volume_accumbens	Cerebellar inhibitory	accumbens	Cerebellar_inhibitory	0.699307651788674	0.990305421974703	-3.78921287899835e-09	7.25332748420268e-09	1.2025654613043	-0.522410285107219	no	structural MRI	0.155331719705683
volume_accumbens	CGE interneuron	accumbens	CGE_interneuron	0.985734232291475	0.990305421974703	-1.5886365333362e-08	7.2543814221638e-09	0.874426201765769	-2.18989937375302	no	structural MRI	0.00624016113130325
volume_accumbens	Choroid plexus	accumbens	Choroid_plexus	0.611780957275436	0.990305421974703	-2.25473293758376e-09	7.94021122752245e-09	1.29113784536344	-0.283963848438739	no	structural MRI	0.213404045296597
volume_accumbens	Committed oligodendrocyte precursor	accumbens	Committed_oligodendrocyte_precursor	0.401153628875779	0.990305421974703	2.30425870625769e-09	9.20370044735023e-09	1.51271041006792	0.250362201533959	no	structural MRI	0.396689274772472
volume_accumbens	Deep-layer corticothalamic and 6b	accumbens	Deep_layer_corticothalamic_and_6b	0.865649695822186	0.990305421974703	-7.25232966028043e-09	6.55690517522042e-09	0.954050878521276	-1.10605986612223	no	structural MRI	0.0626578192409462
volume_accumbens	Deep-layer intratelencephalic	accumbens	Deep_layer_intratelencephalic	0.644588923600689	0.990305421974703	-2.77014193383854e-09	7.47168161317257e-09	1.12433327391476	-0.370752138173926	no	structural MRI	0.190717161529905
volume_accumbens	Deep-layer near-projecting	accumbens	Deep_layer_near_projecting	0.477049260851934	0.990305421974703	3.90325835837856e-10	6.78111204002029e-09	1.17862499892941	0.0575607412964509	no	structural MRI	0.32143677271763
