Trait	Supercluster	dataset_name	Supercluster_ID	P	P.fdr	BETA	SE	Enrichment	Coefficient_z-score	if.sig.fdr	disorder_type	minuslog10P	Trait2	MDD_group
comorbid_anxiety	Amygdala excitatory	anxiety_mlm_correctGRM	Amygdala_excitatory	0.0650687401172463	0.252141367954329	1.30479239687671e-09	8.62068515634335e-10	1.2140519821218	1.5135599702497	no	psychiatric	1.18662760214005	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Astrocyte	anxiety_mlm_correctGRM	Astrocyte	0.977064125316275	0.999346375534323	-1.99001042617076e-09	9.96713820359265e-10	0.787446264335825	-1.99657151884727	no	psychiatric	0.010076932333319	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Bergmann glia	anxiety_mlm_correctGRM	Bergmann_glia	0.721430274346655	0.894573540189852	-5.5917775675021e-10	9.52447410863392e-10	1.00363774829278	-0.587095676225647	no	psychiatric	0.141805636753145	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Cerebellar inhibitory	anxiety_mlm_correctGRM	Cerebellar_inhibitory	0.190830796012696	0.452847922451006	8.5622841040142e-10	9.78727001742914e-10	1.16213289844199	0.874838855857304	no	psychiatric	0.719351538127008	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	CGE interneuron	anxiety_mlm_correctGRM	CGE_interneuron	0.00933499376133529	0.150204520324294	2.22568882456794e-09	9.46273927716359e-10	1.36150398715578	2.35205552998717	no	psychiatric	2.02988596795792	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Choroid plexus	anxiety_mlm_correctGRM	Choroid_plexus	0.918553458960898	0.999346375534323	-1.21743419603576e-09	8.72458016634731e-10	0.857426201883091	-1.39540719762273	no	psychiatric	0.0368955630858688	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Committed oligodendrocyte precursor	anxiety_mlm_correctGRM	Committed_oligodendrocyte_precursor	0.250474994199657	0.517648321345958	7.05570192619042e-10	1.04840213652377e-09	1.10950817783837	0.672995759965286	no	psychiatric	0.601235624779477	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Deep-layer corticothalamic and 6b	anxiety_mlm_correctGRM	Deep_layer_corticothalamic_and_6b	0.13210757966154	0.372303179046158	1.04292884344394e-09	9.34119215433439e-10	1.17951885790443	1.11648366312646	no	psychiatric	0.879072264060369	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Deep-layer intratelencephalic	anxiety_mlm_correctGRM	Deep_layer_intratelencephalic	0.0455013837548447	0.224713383974066	1.5064282026324e-09	8.91308192660287e-10	1.26892929873292	1.69013166830226	no	psychiatric	1.34197539569552	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Deep-layer near-projecting	anxiety_mlm_correctGRM	Deep_layer_near_projecting	0.456262663624598	0.639363594527436	1.00284065989309e-10	9.1288668140833e-10	1.06302658410926	0.109853794596497	no	psychiatric	0.340785068473091	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Eccentric medium spiny neuron	anxiety_mlm_correctGRM	Eccentric_medium_spiny_neuron	0.204511964977874	0.452847922451006	8.15336432519153e-10	9.87553375831524e-10	1.16798965801195	0.825612521280317	no	psychiatric	0.689281278503299	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Ependymal	anxiety_mlm_correctGRM	Ependymal	0.974833791800186	0.999346375534323	-1.97816742316799e-09	1.01075013075805e-09	0.741173583569133	-1.95712804081894	no	psychiatric	0.0110694247704556	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Fibroblast	anxiety_mlm_correctGRM	Fibroblast	0.999346375534323	0.999346375534323	-3.21869853511439e-09	1.00134237570111e-09	0.574690224163691	-3.21438362464262	no	psychiatric	0.000283958309842501	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Hippocampal CA1-3	anxiety_mlm_correctGRM	Hippocampal_CA1_3	0.0145359213217059	0.150204520324294	2.00993031755799e-09	9.20925643258897e-10	1.2984569627991	2.18251096847017	no	psychiatric	1.83755743639082	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Hippocampal CA4	anxiety_mlm_correctGRM	Hippocampal_CA4	0.039097864125059	0.224713383974066	1.5559561612661e-09	8.83437460249946e-10	1.27425628266775	1.76125218962968	no	psychiatric	1.40784696700406	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Hippocampal dentate gyrus	anxiety_mlm_correctGRM	Hippocampal_dentate_gyrus	0.109005890712042	0.33791826120733	1.06179894758355e-09	8.61967213268146e-10	1.18006233656688	1.23183217556239	no	psychiatric	0.962550032017108	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	LAMP5-LHX6 and Chandelier	anxiety_mlm_correctGRM	LAMP5_LHX6_and_Chandelier	0.353137398275403	0.587831947916803	3.70698607315509e-10	9.83640694768552e-10	1.13267608471387	0.376863837869918	no	psychiatric	0.452056286955228	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Lower rhombic lip	anxiety_mlm_correctGRM	Lower_rhombic_lip	0.474366537875194	0.639363594527436	6.43498188490557e-11	1.00080845473959e-09	1.03788782704813	0.0642978369580217	no	psychiatric	0.32388595397918	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Mammillary body	anxiety_mlm_correctGRM	Mammillary_body	0.386135027200123	0.587831947916803	2.53724365312833e-10	8.76704771095892e-10	1.08868329031193	0.289406849007647	no	psychiatric	0.413260800733512	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Medium spiny neuron	anxiety_mlm_correctGRM	Medium_spiny_neuron	0.188307581295903	0.452847922451006	8.12368720140482e-10	9.18813074176312e-10	1.13626910290685	0.884150153031666	no	psychiatric	0.725132194860145	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	MGE interneuron	anxiety_mlm_correctGRM	MGE_interneuron	0.0507417318651117	0.224713383974066	1.60274999128933e-09	9.78656722148545e-10	1.29255854274145	1.63770396198848	no	psychiatric	1.29463471396439	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Microglia	anxiety_mlm_correctGRM	Microglia	0.274680724570931	0.532193903856178	6.11983111611812e-10	1.02215713202449e-09	1.01344712910604	0.59871725436158	no	psychiatric	0.561171815665695	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Midbrain-derived inhibitory	anxiety_mlm_correctGRM	Midbrain_derived_inhibitory	0.0734154304454182	0.252875371534218	1.31224506227048e-09	9.04487044290227e-10	1.25093921534997	1.45081686968798	no	psychiatric	1.13421265053347	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Miscellaneous	anxiety_mlm_correctGRM	Miscellaneous	0.0291096201520776	0.224713383974066	1.62598909314545e-09	8.58475066589381e-10	1.23737530837121	1.89404346896796	no	psychiatric	1.53596346158053	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Oligodendrocyte precursor	anxiety_mlm_correctGRM	Oligodendrocyte_precursor	0.376069357983148	0.587831947916803	2.6578692178882e-10	8.41575756258323e-10	1.07629856464576	0.315820554254698	no	psychiatric	0.424732051318283	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Oligodendrocyte	anxiety_mlm_correctGRM	Oligodendrocyte	0.398208738911383	0.587831947916803	2.65881599831837e-10	1.03060354884234e-09	1.05663004036845	0.257986303395226	no	psychiatric	0.399889213371024	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Splatter	anxiety_mlm_correctGRM	Splatter	0.552422507922473	0.713545739399861	-1.20930879752298e-10	9.17643236392582e-10	1.02782633318373	-0.131784199955201	no	psychiatric	0.257728634822971	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Thalamic excitatory	anxiety_mlm_correctGRM	Thalamic_excitatory	0.335918277835212	0.587831947916803	3.5541583401969e-10	8.38979414431259e-10	1.09127598938493	0.423628789820337	no	psychiatric	0.473766364878159	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Upper-layer intratelencephalic	anxiety_mlm_correctGRM	Upper_layer_intratelencephalic	0.00978550521629407	0.150204520324294	2.19385148636365e-09	9.39763383168683e-10	1.34314320169614	2.33447219337962	no	psychiatric	2.00941674721757	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Upper rhombic lip	anxiety_mlm_correctGRM	Upper_rhombic_lip	0.935739930376866	0.999346375534323	-1.36968383915619e-09	9.01129403905841e-10	0.858250986677686	-1.51996354044098	no	psychiatric	0.0288448376896743	comorbid_anxiety (24.5k)	Anxiety
comorbid_anxiety	Vascular	anxiety_mlm_correctGRM	Vascular	0.986317874379673	0.999346375534323	-2.07605958832105e-09	9.40976474645081e-10	0.710555662014396	-2.20628213803549	no	psychiatric	0.00598309637641773	comorbid_anxiety (24.5k)	Anxiety
atypical	Amygdala excitatory	atypical_mlm_correctGRM	Amygdala_excitatory	0.178203019382924	0.500662074012721	6.54039352168357e-10	7.09189513270558e-10	1.51333559324531	0.922234945567841	no	psychiatric	0.749084941768091	atypical (2.9k)	Vegetative
atypical	Astrocyte	atypical_mlm_correctGRM	Astrocyte	0.107074452985056	0.500662074012721	1.13177177828725e-09	9.11075116991867e-10	1.82935908520255	1.24223761266147	no	psychiatric	0.970314135620894	atypical (2.9k)	Vegetative
atypical	Bergmann glia	atypical_mlm_correctGRM	Bergmann_glia	0.0245234181352167	0.500662074012721	1.66445055251766e-09	8.45678199059881e-10	2.12964656339258	1.96818429796108	no	psychiatric	1.61041899688596	atypical (2.9k)	Vegetative
atypical	Cerebellar inhibitory	atypical_mlm_correctGRM	Cerebellar_inhibitory	0.0849822147272297	0.500662074012721	1.16143368051863e-09	8.46329775678115e-10	1.8724539220207	1.37231811274516	no	psychiatric	1.07067195492124	atypical (2.9k)	Vegetative
atypical	CGE interneuron	atypical_mlm_correctGRM	CGE_interneuron	0.295042887783288	0.508129417848996	4.80907473339031e-10	8.92699086651852e-10	1.43920847341386	0.538711734480112	no	psychiatric	0.530114849873315	atypical (2.9k)	Vegetative
atypical	Choroid plexus	atypical_mlm_correctGRM	Choroid_plexus	0.612269518005624	0.768098854101544	-2.32659047376434e-10	8.15663226509009e-10	1.01470182499497	-0.285239103364021	no	psychiatric	0.213057361487805	atypical (2.9k)	Vegetative
atypical	Committed oligodendrocyte precursor	atypical_mlm_correctGRM	Committed_oligodendrocyte_precursor	0.693042261698307	0.826319619717212	-4.43355959614124e-10	8.78816120051104e-10	0.930116479643654	-0.504492293095787	no	psychiatric	0.159240281314968	atypical (2.9k)	Vegetative
atypical	Deep-layer corticothalamic and 6b	atypical_mlm_correctGRM	Deep_layer_corticothalamic_and_6b	0.582301456664393	0.768098854101544	-1.51757461631154e-10	7.30359205065219e-10	1.04455390684223	-0.207784690846201	no	psychiatric	0.234852123475151	atypical (2.9k)	Vegetative
atypical	Deep-layer intratelencephalic	atypical_mlm_correctGRM	Deep_layer_intratelencephalic	0.129184061374062	0.500662074012721	8.36116995080961e-10	7.39758570179069e-10	1.69658368851632	1.13025658476463	no	psychiatric	0.888791065940746	atypical (2.9k)	Vegetative
atypical	Deep-layer near-projecting	atypical_mlm_correctGRM	Deep_layer_near_projecting	0.215281523492627	0.500662074012721	6.61040244841331e-10	8.38640348710949e-10	1.52000101441652	0.788228524727433	no	psychiatric	0.666993241841757	atypical (2.9k)	Vegetative
atypical	Eccentric medium spiny neuron	atypical_mlm_correctGRM	Eccentric_medium_spiny_neuron	0.222098699838461	0.500662074012721	5.88094938974922e-10	7.68626443050549e-10	1.47088257980399	0.765124520880224	no	psychiatric	0.653453983795672	atypical (2.9k)	Vegetative
atypical	Ependymal	atypical_mlm_correctGRM	Ependymal	0.239940228179145	0.500662074012721	5.9523404807628e-10	8.42517183110129e-10	1.50662768085916	0.706494846643946	no	psychiatric	0.619896932475848	atypical (2.9k)	Vegetative
atypical	Fibroblast	atypical_mlm_correctGRM	Fibroblast	0.244690049943069	0.500662074012721	5.97307733668252e-10	8.64041592492495e-10	1.50327388941907	0.691295116876495	no	psychiatric	0.611383690405784	atypical (2.9k)	Vegetative
atypical	Hippocampal CA1-3	atypical_mlm_correctGRM	Hippocampal_CA1_3	0.266587248362191	0.500662074012721	5.0706173144378e-10	8.13684573424186e-10	1.45195915266867	0.623167438593482	no	psychiatric	0.574160627984359	atypical (2.9k)	Vegetative
atypical	Hippocampal CA4	atypical_mlm_correctGRM	Hippocampal_CA4	0.740287203107595	0.844168247616736	-5.50384650036458e-10	8.54327987851159e-10	0.807501514434097	-0.644231089070145	no	psychiatric	0.130599757936172	atypical (2.9k)	Vegetative
atypical	Hippocampal dentate gyrus	atypical_mlm_correctGRM	Hippocampal_dentate_gyrus	0.762474546234471	0.844168247616736	-5.3337157450534e-10	7.46720852755253e-10	0.770237129078519	-0.714285094004411	no	psychiatric	0.117774649836162	atypical (2.9k)	Vegetative
atypical	LAMP5-LHX6 and Chandelier	atypical_mlm_correctGRM	LAMP5_LHX6_and_Chandelier	0.255339368123797	0.500662074012721	5.5286801683109e-10	8.4050443605932e-10	1.46441332227682	0.657781200326789	no	psychiatric	0.592882220680168	atypical (2.9k)	Vegetative
atypical	Lower rhombic lip	atypical_mlm_correctGRM	Lower_rhombic_lip	0.850105705139706	0.908733684804513	-7.25058006785113e-10	6.9926434279612e-10	0.717126984813947	-1.03688685724465	no	psychiatric	0.07052706922143	atypical (2.9k)	Vegetative
atypical	Mammillary body	atypical_mlm_correctGRM	Mammillary_body	0.946676948370085	0.946676948370085	-1.14696537752826e-09	7.10876177689124e-10	0.416038684465855	-1.61345310692046	no	psychiatric	0.0237981978457121	atypical (2.9k)	Vegetative
atypical	Medium spiny neuron	atypical_mlm_correctGRM	Medium_spiny_neuron	0.365002233824001	0.565753462427201	2.91386269236186e-10	8.44305217499785e-10	1.28223446386708	0.345119588505042	no	psychiatric	0.437704477640872	atypical (2.9k)	Vegetative
atypical	MGE interneuron	atypical_mlm_correctGRM	MGE_interneuron	0.223508783904237	0.500662074012721	6.03540130310285e-10	7.93717577518891e-10	1.45603872684256	0.760396578587703	no	psychiatric	0.65070540440597	atypical (2.9k)	Vegetative
atypical	Microglia	atypical_mlm_correctGRM	Microglia	0.532226955114519	0.749956164025004	-8.0594223222532e-11	9.96601519558446e-10	1.14129496760852	-0.0808690551247002	no	psychiatric	0.273903133991606	atypical (2.9k)	Vegetative
atypical	Midbrain-derived inhibitory	atypical_mlm_correctGRM	Midbrain_derived_inhibitory	0.230023248041103	0.500662074012721	5.16450072640422e-10	6.99067193685703e-10	1.42780820781599	0.738770288901034	no	psychiatric	0.638228268392271	atypical (2.9k)	Vegetative
atypical	Miscellaneous	atypical_mlm_correctGRM	Miscellaneous	0.354319774397109	0.565753462427201	2.98736651866679e-10	7.99436901077394e-10	1.31936964438127	0.373683841043707	no	psychiatric	0.450604609247688	atypical (2.9k)	Vegetative
atypical	Oligodendrocyte precursor	atypical_mlm_correctGRM	Oligodendrocyte_precursor	0.274556621232783	0.500662074012721	4.39990603374242e-10	7.34432245308375e-10	1.30613774701029	0.599089441109027	no	psychiatric	0.56136807834256	atypical (2.9k)	Vegetative
