Category	P	P.adj	fdr_sig	dataset_name	z	adjusted_for	prop_sn_ps	prop_h2	prop_h2_std_error	enrichment	enrichment_std_error	enrichment_p	coefficient	coefficient_std_error
Amygdala excitatory	1.5062098524254e-4	0.00132313561240974	yes	bip2021	3.61422964473117	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
CGE interneuron	6.3250813773996e-4	0.00280110746713412	yes	bip2021	3.22380020131862	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	0.0211306107056155	0.0436699287916054	yes	bip2021	2.03093862064387	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	2.33085820444678e-6	7.22566043378503e-5	yes	bip2021	4.57946282080437	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	1.2565371978123e-4	0.00132313561240974	yes	bip2021	3.66092385958159	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	5.0177077771917e-4	0.00259248235154909	yes	bip2021	3.28953196947343	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	8.1638440797082e-4	0.00316348958088696	yes	bip2021	3.14998851410397	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	0.0139355559752063	0.0360001862692831	yes	bip2021	2.19909578833849	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	1.707271757948e-4	0.00132313561240974	yes	bip2021	3.5816321450405	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	6.74286190216478e-8	2.09028718967108e-6	yes	educational_attainment	5.27211947473991	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
CGE interneuron	8.495076885503e-4	0.00239406712227812	yes	educational_attainment	3.13835057301609	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	1.5719390085089e-4	6.0517924473542e-4	yes	educational_attainment	3.60314684144745	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	4.70442688782491e-6	4.86124111741907e-5	yes	educational_attainment	4.43033104786668	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	6.63629329433757e-6	5.14312730311162e-5	yes	educational_attainment	4.35556212427025	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	8.79807478071371e-6	5.4548063640425e-5	yes	educational_attainment	4.29339506766877	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	6.63684369262008e-5	3.4290359078537e-4	yes	educational_attainment	3.82132447059918	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	4.5065058401916e-4	0.00139701681045941	yes	educational_attainment	3.31965078319206	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	7.97157844354413e-5	3.5302704535695e-4	yes	educational_attainment	3.77589903061309	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	1.0763625633591e-4	0.00145696327689319	yes	iq	3.70038512534377	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
CGE interneuron	0.00284805708023939	0.00980997438749122	yes	iq	2.76478032260885	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	0.0100655161952192	0.0312031002051796	yes	iq	2.32389667743214	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	3.187375506195e-4	0.00247021601730119	yes	iq	3.41514737580454	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	3.05566013799607e-5	9.4725464277878e-4	yes	iq	4.00847076390181	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	7.9550585357801e-4	0.00411011357681975	yes	iq	3.15754959453559	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	0.0131968221500186	0.0371910442409615	yes	iq	2.22037025746378	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	0.00249066239944373	0.00980997438749122	yes	iq	2.80823896546731	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	6.2086011820217e-4	0.00384933273285346	yes	iq	3.22911943800605	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	6.17306549597352e-5	6.3788343458393e-4	yes	mdd2019	3.8391493629894198	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
