Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	adjusted_for
Amygdala_excitatory	0.1528769824794138	0.21295730165568494	0.011521560651256318	1.3929978091002775	0.0753649140923343	6.801912916200145e-7	1.8176740018638723e-8	4.7359605223883125e-9	3.83802608419386	Astrocyte
Astrocyte	0.1196461963185347	0.13114860957494	0.010063194322654784	1.0961368903511348	0.08410793349304217	0.2539859309305542	-7.37687625402983e-9	5.298526306206944e-9	-1.3922505669903364	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21304046081027336	0.01149646978454132	1.3935417703509492	0.07520078953736163	6.205552705663552e-7	1.8276161131053817e-8	4.7128385309337875e-9	3.8779518990718813	Bergmann_glia
Bergmann_glia	0.11690260232951344	0.13196585567320912	0.01038856574333595	1.1288530198946032	0.08886513675763773	0.15013984420349666	-5.8631873657878275e-9	5.497645549464444e-9	-1.066490611850921	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21410030381887202	0.01136918352131398	1.4004744229413506	0.07436818373128824	3.029831022369871e-7	1.7477683390980093e-8	4.792601932556681e-9	3.646804728815935	CGE_interneuron
CGE_interneuron	0.12305912323425697	0.18343955753067	0.009332376534928308	1.490661990021431	0.07583652710708066	6.678556860493693e-10	2.023178301545193e-8	4.874068473391086e-9	4.15090250083743	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.213096082077112	0.011539366485143473	1.3939056005753332	0.07548138573900323	6.557589282544004e-7	1.835120517094653e-8	4.779663360412071e-9	3.8394346603867118	Cerebellar_inhibitory
Cerebellar_inhibitory	0.1158408960405183	0.15426602605737216	0.009127086465143139	1.3317060842089283	0.0787898469116702	2.2878529083324346e-5	1.0072345975119438e-8	4.8271947059077115e-9	2.0865837383340895	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.2131816727772276	0.011511849302315535	1.3944654670688201	0.075301390147896885	6.02608489943146e-7	1.8159604751672434e-8	4.785682424205421e-9	3.794569539304004	Choroid_plexus
Choroid_plexus	0.12192444455851623	0.12415418695668573	0.00949493083087989	1.0182879028585556	0.07787553074578829	0.814460648228132	-9.008027105307205e-9	4.888773292744415e-9	-1.8425945663457757	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21292919515287395	0.01147909581593715	1.3928139586451262	0.07508714281093891	6.253012320907152e-7	1.8418002720237932e-8	4.716685834894551e-9	3.904861032714869	Committed_oligodendrocyte_precursor
Committed_oligodendrocyte_precursor	0.11743253283463836	0.132935933829997	0.008063272031657449	1.1320196424374973	0.0686630172833935	0.05844073629473268	-2.9224564146176557e-9	4.384668233615194e-9	-0.6665171134756681	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21407815424537258	0.011503790948576497	1.4003295379943808	0.07524867878737455	4.3380321973149115e-7	1.5900296150005004e-8	5.147850495656989e-9	3.0887253162109842	Deep_layer_corticothalamic_and_6b
Deep_layer_corticothalamic_and_6b	0.14169744507737506	0.1919195251487354	0.010305846263399856	1.354431796874927	0.07273134852764822	3.037498884558462e-6	9.924270020367577e-9	4.977853912755668e-9	1.9936844660982918	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21376292009963377	0.011373869757633616	1.3982675261687532	0.07439883737347579	3.807805519158383e-7	1.11345368417402e-8	4.805462020253565e-9	2.317058546048539	Deep_layer_intratelencephalic
Deep_layer_intratelencephalic	0.13561372880676392	0.2038065718882829	0.011431232465147058	1.50284616226936	0.08429259018041918	3.0497244736751405e-8	1.7796819662528527e-8	5.690783607267103e-9	3.127305638506809	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21373429960161566	0.011687943723012786	1.3980803135645146	0.07645326021912205	7.07622269206215e-7	1.81534152291912e-8	5.228229652565858e-9	3.4721916280555982	Deep_layer_near_projecting
Deep_layer_near_projecting	0.13174837309321896	0.1661890623260064	0.009066374021001309	1.2614126339793115	0.06881583284968816	1.7557273405825787e-4	3.658458078962767e-9	5.010001519433909e-9	0.7302309320209835	Amygdala_excitatory
