Region1	n_edges	regions	regions2
AON_L	134	Paleocortex	Cortex
AON_R	118	Paleocortex	Cortex
APH_L	269	Temporal_cortex	Cortex
APH_R	287	Temporal_cortex	Cortex
CaB_L	310	BasalForebrain	BasalForebrain
CaB_R	333	BasalForebrain	BasalForebrain
CEN_L	1240	Amygdala	Amygdala
CEN_R	1067	Amygdala	Amygdala
CgGc_L	497	Limbic_cortex	Cortex
CgGc_R	273	Limbic_cortex	Cortex
CgGr_L	758	Limbic_cortex	Cortex
CgGr_R	536	Limbic_cortex	Cortex
CoA_L	454	Amygdala	Amygdala
CoA_R	668	Amygdala	Amygdala
Cun_L	252	Occipital_cortex	Cortex
Cun_R	282	Occipital_cortex	Cortex
FuGt_L	536	Temporal_cortex	Cortex
FuGt_R	315	Temporal_cortex	Cortex
HiB_L	1248	Hippocampus	Hippocampus
HiB_R	1091	Hippocampus	Hippocampus
HiH_L	751	Hippocampus	Hippocampus
HiH_R	915	Hippocampus	Hippocampus
HiT_L	657	Hippocampus	Hippocampus
HiT_R	419	Hippocampus	Hippocampus
IFGop_L	463	Frontal_cortex	Cortex
IFGop_R	639	Frontal_cortex	Cortex
IFGtr_L	447	Frontal_cortex	Cortex
IFGtr_R	283	Frontal_cortex	Cortex
ITG_L	237	Temporal_cortex	Cortex
ITG_R	369	Temporal_cortex	Cortex
La_L	828	Amygdala	Amygdala
La_R	719	Amygdala	Amygdala
LiG_L	458	Occipital_cortex	Cortex
LIG_L	760	Temporal_cortex	Cortex
LiG_R	471	Occipital_cortex	Cortex
LIG_R	839	Temporal_cortex	Cortex
MFG_L	953	Frontal_cortex	Cortex
MFG_R	794	Frontal_cortex	Cortex
MTG_L	591	Temporal_cortex	Cortex
MTG_R	612	Temporal_cortex	Cortex
PaO_L	1181	Parietal_cortex	Cortex
PaO_R	879	Parietal_cortex	Cortex
Pir_L	555	Paleocortex	Cortex
Pir_R	617	Paleocortex	Cortex
PoCG_L	330	Parietal_cortex	Cortex
PoCG_R	170	Parietal_cortex	Cortex
POrG_L	605	Frontal_cortex	Cortex
POrG_R	726	Frontal_cortex	Cortex
PPH_L	416	Limbic_cortex	Cortex
PPH_R	533	Limbic_cortex	Cortex
PrCG_L	654	Frontal_cortex	Cortex
PrCG_R	562	Frontal_cortex	Cortex
PRG_L	675	Temporal_cortex	Cortex
PRG_R	616	Temporal_cortex	Cortex
Pu_L	840	BasalForebrain	BasalForebrain
Pu_R	767	BasalForebrain	BasalForebrain
ReG_L	352	Frontal_cortex	Cortex
ReG_R	305	Frontal_cortex	Cortex
RoG_L	706	Frontal_cortex	Cortex
RoG_R	837	Frontal_cortex	Cortex
SCG_L	689	Frontal_cortex	Cortex
SCG_R	888	Frontal_cortex	Cortex
SIG_L	548	Temporal_cortex	Cortex
SIG_R	689	Temporal_cortex	Cortex
SMG_L	309	Parietal_cortex	Cortex
SMG_R	361	Parietal_cortex	Cortex
SOG_L	363	Occipital_cortex	Cortex
SOG_R	373	Occipital_cortex	Cortex
SPL_L	287	Parietal_cortex	Cortex
SPL_R	393	Parietal_cortex	Cortex
STG_L	318	Temporal_cortex	Cortex
STG_R	282	Temporal_cortex	Cortex
TP_L	526	Temporal_cortex	Cortex
TP_R	597	Temporal_cortex	Cortex
TTG_L	683	Temporal_cortex	Cortex
TTG_R	613	Temporal_cortex	Cortex
