AUC	fold	Run	group
0.49	1	1	DataDriven
0.41	1	2	DataDriven
0.76	1	3	DataDriven
0.55	1	4	DataDriven
0.63	1	5	DataDriven
0.45	1	6	DataDriven
0.6	1	7	DataDriven
0.54	1	8	DataDriven
0.57	1	9	DataDriven
0.49	1	10	DataDriven
0.63	1	11	DataDriven
0.58	1	12	DataDriven
0.59	1	13	DataDriven
0.69	1	14	DataDriven
0.62	1	15	DataDriven
0.54	1	16	DataDriven
0.64	1	17	DataDriven
0.5	1	18	DataDriven
0.59	1	19	DataDriven
0.5	1	20	DataDriven
0.5	1	21	DataDriven
0.76	1	22	DataDriven
0.45	1	23	DataDriven
0.5	1	24	DataDriven
0.58	1	25	DataDriven
0.57	1	26	DataDriven
0.48	1	27	DataDriven
0.46	1	28	DataDriven
0.51	1	29	DataDriven
0.5	1	30	DataDriven
0.47	1	31	DataDriven
0.56	1	32	DataDriven
0.55	1	33	DataDriven
0.54	1	34	DataDriven
0.54	1	35	DataDriven
0.51	1	36	DataDriven
0.47	1	37	DataDriven
0.6	1	38	DataDriven
0.43	1	39	DataDriven
0.54	1	40	DataDriven
0.48	1	41	DataDriven
0.59	1	42	DataDriven
0.55	1	43	DataDriven
0.49	1	44	DataDriven
0.75	1	45	DataDriven
0.6	1	46	DataDriven
0.59	1	47	DataDriven
0.6	1	48	DataDriven
0.55	1	49	DataDriven
0.53	1	50	DataDriven
0.57	1	51	DataDriven
0.61	1	52	DataDriven
0.43	1	53	DataDriven
0.62	1	54	DataDriven
0.5	1	55	DataDriven
0.51	1	56	DataDriven
0.53	1	57	DataDriven
0.58	1	58	DataDriven
0.54	1	59	DataDriven
0.72	1	60	DataDriven
0.59	1	61	DataDriven
0.62	1	62	DataDriven
0.49	1	63	DataDriven
0.62	1	64	DataDriven
0.78	1	65	DataDriven
0.83	1	66	DataDriven
0.72	1	67	DataDriven
0.83	1	68	DataDriven
0.75	1	69	DataDriven
0.7	1	70	DataDriven
0.57	1	71	DataDriven
0.55	1	72	DataDriven
0.67	1	73	DataDriven
0.56	1	74	DataDriven
0.58	1	75	DataDriven
0.54321	2	1	DataDriven
0.64198	2	2	DataDriven
0.4321	2	3	DataDriven
0.33333	2	4	DataDriven
0.54321	2	5	DataDriven
0.61728	2	6	DataDriven
0.54321	2	7	DataDriven
0.24691	2	8	DataDriven
0.4321	2	9	DataDriven
0.53086	2	10	DataDriven
0.35802	2	11	DataDriven
0.50617	2	12	DataDriven
0.54321	2	13	DataDriven
0.51852	2	14	DataDriven
0.58025	2	15	DataDriven
0.4321	2	16	DataDriven
