Region	Run	n	n_sum	regions
AON_R	1	5	43	Paleocortex
AON_R	2	5	43	Paleocortex
AON_R	3	4	43	Paleocortex
AON_R	4	3	43	Paleocortex
AON_R	5	3	43	Paleocortex
AON_R	6	3	43	Paleocortex
AON_R	7	3	43	Paleocortex
AON_R	8	3	43	Paleocortex
AON_R	9	2	43	Paleocortex
AON_R	10	2	43	Paleocortex
AON_R	11	2	43	Paleocortex
AON_R	12	2	43	Paleocortex
AON_R	13	2	43	Paleocortex
AON_R	14	1	43	Paleocortex
AON_R	15	1	43	Paleocortex
AON_R	16	1	43	Paleocortex
AON_R	17	1	43	Paleocortex
PoCG_R	1	5	48	Parietal_cortex
PoCG_R	2	4	48	Parietal_cortex
PoCG_R	3	4	48	Parietal_cortex
PoCG_R	4	4	48	Parietal_cortex
PoCG_R	5	3	48	Parietal_cortex
PoCG_R	6	3	48	Parietal_cortex
PoCG_R	7	2	48	Parietal_cortex
PoCG_R	8	2	48	Parietal_cortex
PoCG_R	9	2	48	Parietal_cortex
PoCG_R	10	2	48	Parietal_cortex
PoCG_R	11	1	48	Parietal_cortex
PoCG_R	12	1	48	Parietal_cortex
PoCG_R	13	1	48	Parietal_cortex
PoCG_R	14	1	48	Parietal_cortex
PoCG_R	15	1	48	Parietal_cortex
PoCG_R	16	1	48	Parietal_cortex
PoCG_R	17	1	48	Parietal_cortex
PoCG_R	18	1	48	Parietal_cortex
PoCG_R	19	1	48	Parietal_cortex
PoCG_R	20	1	48	Parietal_cortex
PoCG_R	21	1	48	Parietal_cortex
PoCG_R	22	1	48	Parietal_cortex
PoCG_R	23	1	48	Parietal_cortex
PoCG_R	24	1	48	Parietal_cortex
PoCG_R	25	1	48	Parietal_cortex
PoCG_R	26	1	48	Parietal_cortex
PoCG_R	27	1	48	Parietal_cortex
AON_L	1	5	53	Paleocortex
AON_L	2	5	53	Paleocortex
AON_L	3	4	53	Paleocortex
AON_L	4	4	53	Paleocortex
AON_L	5	4	53	Paleocortex
AON_L	6	4	53	Paleocortex
AON_L	7	3	53	Paleocortex
AON_L	8	3	53	Paleocortex
AON_L	9	3	53	Paleocortex
AON_L	10	3	53	Paleocortex
AON_L	11	3	53	Paleocortex
AON_L	12	2	53	Paleocortex
AON_L	13	2	53	Paleocortex
AON_L	14	2	53	Paleocortex
AON_L	15	2	53	Paleocortex
AON_L	16	2	53	Paleocortex
AON_L	17	1	53	Paleocortex
AON_L	18	1	53	Paleocortex
ITG_L	1	5	78	Temporal_cortex
ITG_L	2	5	78	Temporal_cortex
ITG_L	3	5	78	Temporal_cortex
ITG_L	4	5	78	Temporal_cortex
ITG_L	5	5	78	Temporal_cortex
ITG_L	6	5	78	Temporal_cortex
ITG_L	7	5	78	Temporal_cortex
ITG_L	8	3	78	Temporal_cortex
ITG_L	9	3	78	Temporal_cortex
ITG_L	10	3	78	Temporal_cortex
ITG_L	11	3	78	Temporal_cortex
ITG_L	12	3	78	Temporal_cortex
ITG_L	13	1	78	Temporal_cortex
ITG_L	14	1	78	Temporal_cortex
ITG_L	15	1	78	Temporal_cortex
ITG_L	16	1	78	Temporal_cortex
ITG_L	17	1	78	Temporal_cortex
ITG_L	18	1	78	Temporal_cortex
ITG_L	19	1	78	Temporal_cortex
ITG_L	20	1	78	Temporal_cortex
ITG_L	21	1	78	Temporal_cortex
ITG_L	22	1	78	Temporal_cortex
ITG_L	23	1	78	Temporal_cortex
ITG_L	24	1	78	Temporal_cortex
ITG_L	25	1	78	Temporal_cortex
ITG_L	26	1	78	Temporal_cortex
ITG_L	27	1	78	Temporal_cortex
ITG_L	28	1	78	Temporal_cortex
ITG_L	29	1	78	Temporal_cortex
ITG_L	30	1	78	Temporal_cortex
ITG_L	31	1	78	Temporal_cortex
ITG_L	32	1	78	Temporal_cortex
ITG_L	33	1	78	Temporal_cortex
ITG_L	34	1	78	Temporal_cortex
ITG_L	35	1	78	Temporal_cortex
ITG_L	36	1	78	Temporal_cortex
ITG_L	37	1	78	Temporal_cortex
ITG_L	38	1	78	Temporal_cortex
ITG_L	39	1	78	Temporal_cortex
ITG_L	40	1	78	Temporal_cortex
CgGc_R	1	5	100	Limbic_cortex
CgGc_R	2	4	100	Limbic_cortex
CgGc_R	3	4	100	Limbic_cortex
CgGc_R	4	4	100	Limbic_cortex
CgGc_R	5	4	100	Limbic_cortex
CgGc_R	6	4	100	Limbic_cortex
CgGc_R	7	4	100	Limbic_cortex
CgGc_R	8	4	100	Limbic_cortex
CgGc_R	9	3	100	Limbic_cortex
CgGc_R	10	3	100	Limbic_cortex
CgGc_R	11	3	100	Limbic_cortex
CgGc_R	12	3	100	Limbic_cortex
CgGc_R	13	3	100	Limbic_cortex
CgGc_R	14	3	100	Limbic_cortex
CgGc_R	15	3	100	Limbic_cortex
CgGc_R	16	3	100	Limbic_cortex
CgGc_R	17	3	100	Limbic_cortex
CgGc_R	18	2	100	Limbic_cortex
CgGc_R	19	2	100	Limbic_cortex
CgGc_R	20	2	100	Limbic_cortex
CgGc_R	21	2	100	Limbic_cortex
CgGc_R	22	2	100	Limbic_cortex
CgGc_R	23	2	100	Limbic_cortex
CgGc_R	24	2	100	Limbic_cortex
CgGc_R	25	2	100	Limbic_cortex
CgGc_R	26	2	100	Limbic_cortex
CgGc_R	27	2	100	Limbic_cortex
CgGc_R	28	2	100	Limbic_cortex
CgGc_R	29	2	100	Limbic_cortex
CgGc_R	30	2	100	Limbic_cortex
CgGc_R	31	2	100	Limbic_cortex
CgGc_R	32	2	100	Limbic_cortex
CgGc_R	33	2	100	Limbic_cortex
CgGc_R	34	2	100	Limbic_cortex
CgGc_R	35	2	100	Limbic_cortex
CgGc_R	36	2	100	Limbic_cortex
CgGc_R	37	1	100	Limbic_cortex
CgGc_R	38	1	100	Limbic_cortex
STG_R	1	5	101	Temporal_cortex
STG_R	2	5	101	Temporal_cortex
STG_R	3	5	101	Temporal_cortex
STG_R	4	5	101	Temporal_cortex
STG_R	5	5	101	Temporal_cortex
STG_R	6	5	101	Temporal_cortex
STG_R	7	5	101	Temporal_cortex
STG_R	8	5	101	Temporal_cortex
STG_R	9	5	101	Temporal_cortex
STG_R	10	5	101	Temporal_cortex
STG_R	11	4	101	Temporal_cortex
STG_R	12	4	101	Temporal_cortex
STG_R	13	4	101	Temporal_cortex
STG_R	14	2	101	Temporal_cortex
STG_R	15	2	101	Temporal_cortex
STG_R	16	2	101	Temporal_cortex
STG_R	17	2	101	Temporal_cortex
STG_R	18	2	101	Temporal_cortex
STG_R	19	2	101	Temporal_cortex
STG_R	20	2	101	Temporal_cortex
STG_R	21	2	101	Temporal_cortex
STG_R	22	2	101	Temporal_cortex
STG_R	23	2	101	Temporal_cortex
STG_R	24	2	101	Temporal_cortex
STG_R	25	2	101	Temporal_cortex
STG_R	26	2	101	Temporal_cortex
STG_R	27	2	101	Temporal_cortex
STG_R	28	2	101	Temporal_cortex
STG_R	29	2	101	Temporal_cortex
STG_R	30	2	101	Temporal_cortex
STG_R	31	1	101	Temporal_cortex
STG_R	32	1	101	Temporal_cortex
STG_R	33	1	101	Temporal_cortex
STG_R	34	1	101	Temporal_cortex
STG_R	35	1	101	Temporal_cortex
SOG_R	1	5	108	Occipital_cortex
SOG_R	2	5	108	Occipital_cortex
SOG_R	3	5	108	Occipital_cortex
SOG_R	4	4	108	Occipital_cortex
SOG_R	5	4	108	Occipital_cortex
SOG_R	6	4	108	Occipital_cortex
SOG_R	7	4	108	Occipital_cortex
SOG_R	8	4	108	Occipital_cortex
SOG_R	9	4	108	Occipital_cortex
SOG_R	10	4	108	Occipital_cortex
SOG_R	11	4	108	Occipital_cortex
SOG_R	12	3	108	Occipital_cortex
SOG_R	13	3	108	Occipital_cortex
SOG_R	14	3	108	Occipital_cortex
SOG_R	15	3	108	Occipital_cortex
SOG_R	16	3	108	Occipital_cortex
SOG_R	17	3	108	Occipital_cortex
SOG_R	18	3	108	Occipital_cortex
SOG_R	19	2	108	Occipital_cortex
SOG_R	20	2	108	Occipital_cortex
SOG_R	21	2	108	Occipital_cortex
SOG_R	22	2	108	Occipital_cortex
SOG_R	23	2	108	Occipital_cortex
SOG_R	24	2	108	Occipital_cortex
SOG_R	25	2	108	Occipital_cortex
SOG_R	26	2	108	Occipital_cortex
SOG_R	27	2	108	Occipital_cortex
SOG_R	28	2	108	Occipital_cortex
SOG_R	29	2	108	Occipital_cortex
SOG_R	30	2	108	Occipital_cortex
SOG_R	31	2	108	Occipital_cortex
SOG_R	32	2	108	Occipital_cortex
SOG_R	33	2	108	Occipital_cortex
SOG_R	34	2	108	Occipital_cortex
SOG_R	35	1	108	Occipital_cortex
SOG_R	36	1	108	Occipital_cortex
SOG_R	37	1	108	Occipital_cortex
SOG_R	38	1	108	Occipital_cortex
SOG_R	39	1	108	Occipital_cortex
SOG_R	40	1	108	Occipital_cortex
SOG_R	41	1	108	Occipital_cortex
SOG_R	42	1	108	Occipital_cortex
IFGtr_R	1	5	109	Frontal_cortex
IFGtr_R	2	5	109	Frontal_cortex
IFGtr_R	3	5	109	Frontal_cortex
IFGtr_R	4	5	109	Frontal_cortex
IFGtr_R	5	5	109	Frontal_cortex
IFGtr_R	6	4	109	Frontal_cortex
IFGtr_R	7	4	109	Frontal_cortex
IFGtr_R	8	4	109	Frontal_cortex
IFGtr_R	9	4	109	Frontal_cortex
IFGtr_R	10	4	109	Frontal_cortex
IFGtr_R	11	4	109	Frontal_cortex
IFGtr_R	12	4	109	Frontal_cortex
IFGtr_R	13	4	109	Frontal_cortex
IFGtr_R	14	4	109	Frontal_cortex
IFGtr_R	15	4	109	Frontal_cortex
IFGtr_R	16	4	109	Frontal_cortex
IFGtr_R	17	4	109	Frontal_cortex
IFGtr_R	18	4	109	Frontal_cortex
IFGtr_R	19	3	109	Frontal_cortex
IFGtr_R	20	3	109	Frontal_cortex
IFGtr_R	21	3	109	Frontal_cortex
IFGtr_R	22	3	109	Frontal_cortex
IFGtr_R	23	3	109	Frontal_cortex
IFGtr_R	24	3	109	Frontal_cortex
IFGtr_R	25	2	109	Frontal_cortex
IFGtr_R	26	2	109	Frontal_cortex
IFGtr_R	27	2	109	Frontal_cortex
IFGtr_R	28	1	109	Frontal_cortex
IFGtr_R	29	1	109	Frontal_cortex
IFGtr_R	30	1	109	Frontal_cortex
IFGtr_R	31	1	109	Frontal_cortex
IFGtr_R	32	1	109	Frontal_cortex
IFGtr_R	33	1	109	Frontal_cortex
IFGtr_R	34	1	109	Frontal_cortex
IFGtr_R	35	1	109	Frontal_cortex
SMG_L	1	5	109	Parietal_cortex
SMG_L	2	5	109	Parietal_cortex
SMG_L	3	5	109	Parietal_cortex
SMG_L	4	5	109	Parietal_cortex
SMG_L	5	5	109	Parietal_cortex
SMG_L	6	5	109	Parietal_cortex
SMG_L	7	5	109	Parietal_cortex
SMG_L	8	5	109	Parietal_cortex
SMG_L	9	4	109	Parietal_cortex
SMG_L	10	4	109	Parietal_cortex
SMG_L	11	4	109	Parietal_cortex
SMG_L	12	4	109	Parietal_cortex
SMG_L	13	4	109	Parietal_cortex
SMG_L	14	4	109	Parietal_cortex
SMG_L	15	4	109	Parietal_cortex
SMG_L	16	4	109	Parietal_cortex
SMG_L	17	3	109	Parietal_cortex
SMG_L	18	3	109	Parietal_cortex
SMG_L	19	3	109	Parietal_cortex
SMG_L	20	2	109	Parietal_cortex
SMG_L	21	2	109	Parietal_cortex
SMG_L	22	2	109	Parietal_cortex
SMG_L	23	2	109	Parietal_cortex
SMG_L	24	2	109	Parietal_cortex
SMG_L	25	2	109	Parietal_cortex
SMG_L	26	2	109	Parietal_cortex
SMG_L	27	2	109	Parietal_cortex
SMG_L	28	2	109	Parietal_cortex
SMG_L	29	2	109	Parietal_cortex
SMG_L	30	2	109	Parietal_cortex
SMG_L	31	1	109	Parietal_cortex
SMG_L	32	1	109	Parietal_cortex
SMG_L	33	1	109	Parietal_cortex
SMG_L	34	1	109	Parietal_cortex
SMG_L	35	1	109	Parietal_cortex
SMG_L	36	1	109	Parietal_cortex
ReG_R	1	5	111	Frontal_cortex
ReG_R	2	5	111	Frontal_cortex
ReG_R	3	5	111	Frontal_cortex
ReG_R	4	5	111	Frontal_cortex
ReG_R	5	4	111	Frontal_cortex
ReG_R	6	4	111	Frontal_cortex
ReG_R	7	4	111	Frontal_cortex
ReG_R	8	4	111	Frontal_cortex
ReG_R	9	4	111	Frontal_cortex
ReG_R	10	3	111	Frontal_cortex
ReG_R	11	3	111	Frontal_cortex
ReG_R	12	3	111	Frontal_cortex
ReG_R	13	3	111	Frontal_cortex
ReG_R	14	3	111	Frontal_cortex
ReG_R	15	3	111	Frontal_cortex
ReG_R	16	3	111	Frontal_cortex
