Region1	Region2	FI_edges_scaled_AUCweighted_sum_normalized_sum
AON_L	AON_L	-4.16609829034946
AON_L	AON_R	-2.21203309545154
AON_L	APH_L	-2.86878748850718
AON_L	APH_R	-2.02460746954865
AON_L	CaB_L	-2.95297653090003
AON_L	CaB_R	-2.75054303514196
AON_L	CEN_L	-3.39474254831846
AON_L	CEN_R	-3.30346412088889
AON_L	CgGc_L	-2.68895143694309
AON_L	CgGc_R	-2.17595775530614
AON_L	CgGr_L	-2.70334604698871
AON_L	CgGr_R	-3.1046126238092
AON_L	CoA_L	-1.86796115262744
AON_L	CoA_R	-2.68556911766079
AON_L	Cun_L	-2.24320015475817
AON_L	Cun_R	-2.29748721848441
AON_L	FuGt_L	-2.75271159251819
AON_L	FuGt_R	-3.22310735689233
AON_L	HiB_L	-2.97357873020478
AON_L	HiB_R	-3.09600388050644
AON_L	HiH_L	-2.64506820304813
AON_L	HiH_R	-2.41907217666365
AON_L	HiT_L	-3.3643668157612
AON_L	HiT_R	-2.89741643979897
AON_L	IFGop_L	-3.21246405357409
AON_L	IFGop_R	-2.95105651513215
AON_L	IFGtr_L	-2.36226344452164
AON_L	IFGtr_R	-2.30853496206804
AON_L	ITG_L	-1.08580561555252
AON_L	ITG_R	-2.0854148267433
AON_L	La_L	-3.05604531114239
AON_L	La_R	-2.64953918794331
AON_L	LiG_L	-2.78129437160525
AON_L	LIG_L	-2.20193874861547
AON_L	LiG_R	-2.51769700583537
AON_L	LIG_R	-2.2685004049098
AON_L	MFG_L	-2.89278877124961
AON_L	MFG_R	-2.06538000337267
AON_L	MTG_L	-2.66516451500181
AON_L	MTG_R	-2.29493550672771
AON_L	PaO_L	-2.19015414992286
AON_L	PaO_R	-3.13354839485479
AON_L	Pir_L	-2.24069407805507
AON_L	Pir_R	-2.44089203613599
AON_L	PoCG_L	-3.28783303261845
AON_L	PoCG_R	-2.40103620607947
AON_L	POrG_L	-2.46457512103048
AON_L	POrG_R	-2.47154187256886
AON_L	PPH_L	-3.14277323323911
AON_L	PPH_R	-2.89693513895076
AON_L	PrCG_L	-3.64869756847398
AON_L	PrCG_R	-3.43834983908104
AON_L	PRG_L	-1.74813439881976
AON_L	PRG_R	-1.92953382096926
AON_L	Pu_L	-2.76507063682332
AON_L	Pu_R	-2.75298946755236
AON_L	ReG_L	-2.7879006167166
AON_L	ReG_R	-3.10551002780154
AON_L	RoG_L	-2.15369395792457
AON_L	RoG_R	-2.02190350191256
AON_L	SCG_L	-0.27792133633832
AON_L	SCG_R	-0.0925076771637833
AON_L	SIG_L	-2.79539395628601
AON_L	SIG_R	-3.03868549619683
AON_L	SMG_L	-3.06693966769747
AON_L	SMG_R	-3.65079106311984
AON_L	SOG_L	-2.7191629333448
AON_L	SOG_R	-2.44954009538273
AON_L	SPL_L	-3.32837019253367
AON_L	SPL_R	-2.94556392275278
AON_L	STG_L	-3.25913787968881
AON_L	STG_R	-2.87431527310464
AON_L	TP_L	-2.70359019681264
AON_L	TP_R	-1.72783367082129
AON_L	TTG_L	-2.6516321023543
AON_L	TTG_R	-2.26828025572692
AON_R	AON_L	-2.21203309545154
AON_R	AON_R	-3.26637585746601
AON_R	APH_L	-2.25032568437503
AON_R	APH_R	-2.19390660838579
AON_R	CaB_L	-2.23441829161482
AON_R	CaB_R	-2.14609622047044
AON_R	CEN_L	-2.85701934832615
AON_R	CEN_R	-2.84668612585125
AON_R	CgGc_L	-1.90265615446418
AON_R	CgGc_R	-1.5509391091487
AON_R	CgGr_L	-2.21765032410433
AON_R	CgGr_R	-2.58169424420862
AON_R	CoA_L	-1.85391710423767
AON_R	CoA_R	-1.86886002052285
AON_R	Cun_L	-2.72626865405665
AON_R	Cun_R	-2.56569583541652
AON_R	FuGt_L	-2.1932763749603
AON_R	FuGt_R	-1.64687476300982
AON_R	HiB_L	-2.20332668018899
AON_R	HiB_R	-2.18545491642797
AON_R	HiH_L	-1.98634447945486
AON_R	HiH_R	-1.82429217799297
AON_R	HiT_L	-2.65159626198355
AON_R	HiT_R	-2.43218012603234
AON_R	IFGop_L	-2.36654415282846
AON_R	IFGop_R	-2.23944126890614
AON_R	IFGtr_L	-1.58983084996089
AON_R	IFGtr_R	-1.66586246835709
AON_R	ITG_L	-1.6631283289368
AON_R	ITG_R	-1.87438592927802
AON_R	La_L	-1.6225634722723
AON_R	La_R	-1.82896187602376
AON_R	LiG_L	-1.83682118366634
AON_R	LIG_L	-1.69868135711223
AON_R	LiG_R	-2.59702688479563
AON_R	LIG_R	-1.72502293835144
AON_R	MFG_L	-2.02322186154372
AON_R	MFG_R	-2.23799153200787
AON_R	MTG_L	-2.25777430240418
AON_R	MTG_R	-2.3502339624208
AON_R	PaO_L	-2.35118774670251
AON_R	PaO_R	-2.67670012382021
AON_R	Pir_L	-1.71615454680654
AON_R	Pir_R	-1.95408304438462
AON_R	PoCG_L	-2.17404354131852
AON_R	PoCG_R	-2.62840769754583
AON_R	POrG_L	-1.99391569217305
AON_R	POrG_R	-1.88576780519586
AON_R	PPH_L	-2.74815370526846
AON_R	PPH_R	-2.37224059903207
AON_R	PrCG_L	-2.81700435008636
AON_R	PrCG_R	-2.7632613230206
AON_R	PRG_L	-1.12969942216625
AON_R	PRG_R	-1.44394547762324
AON_R	Pu_L	-2.28369837867548
AON_R	Pu_R	-2.47664316529281
AON_R	ReG_L	-2.14800732091842
AON_R	ReG_R	-2.23529756942009
AON_R	RoG_L	-1.5202031595664
AON_R	RoG_R	-1.39895581198838
AON_R	SCG_L	0.62182665001468
AON_R	SCG_R	0.649043439662938
AON_R	SIG_L	-1.97281866244183
AON_R	SIG_R	-2.12358066025426
AON_R	SMG_L	-2.43475890305278
AON_R	SMG_R	-2.59833988616503
AON_R	SOG_L	-2.49388408737332
AON_R	SOG_R	-2.25300727822265
AON_R	SPL_L	-2.46977679973757
AON_R	SPL_R	-2.41223979613318
AON_R	STG_L	-2.88133760180217
AON_R	STG_R	-2.46952328459005
AON_R	TP_L	-2.17678373057223
AON_R	TP_R	-2.13276343653868
AON_R	TTG_L	-1.67157440451992
AON_R	TTG_R	-1.54098095995771
APH_L	AON_L	-2.86878748850718
APH_L	AON_R	-2.25032568437503
APH_L	APH_L	-5.22044105236392
APH_L	APH_R	-4.10925961346047
APH_L	CaB_L	1.70326213179951
APH_L	CaB_R	1.65595709600167
APH_L	CEN_L	4.70298918149232
APH_L	CEN_R	3.95621835508879
APH_L	CgGc_L	-1.0305472858761
APH_L	CgGc_R	-2.05566020963733
APH_L	CgGr_L	-2.92741707043423
APH_L	CgGr_R	-0.690972057400215
APH_L	CoA_L	-2.8450338274217
APH_L	CoA_R	-1.44726762892567
APH_L	Cun_L	-3.48704424153248
APH_L	Cun_R	-3.08571954139
APH_L	FuGt_L	-2.71717261730668
APH_L	FuGt_R	-3.05360741759192
APH_L	HiB_L	2.33548614197498
APH_L	HiB_R	-0.312375289597827
APH_L	HiH_L	1.00832754083543
APH_L	HiH_R	-1.82976175628803
APH_L	HiT_L	-2.43304550009739
APH_L	HiT_R	-2.24701986235324
APH_L	IFGop_L	-3.26261584854616
APH_L	IFGop_R	-2.77569216837267
APH_L	IFGtr_L	-2.60595141687943
APH_L	IFGtr_R	-2.23626889438131
APH_L	ITG_L	-1.58919330187668
APH_L	ITG_R	0.338734904337118
APH_L	La_L	-0.382738939412211
APH_L	La_R	-0.100756879770938
APH_L	LiG_L	-2.59132107928353
APH_L	LIG_L	-3.64469352011812
APH_L	LiG_R	-2.51310191198168
APH_L	LIG_R	-2.11037838261148
APH_L	MFG_L	-0.886732340694972
APH_L	MFG_R	-1.12901448591654
APH_L	MTG_L	-2.21192218736717
APH_L	MTG_R	-2.24493575530902
APH_L	PaO_L	-2.86618961412247
APH_L	PaO_R	-2.14811977187913
APH_L	Pir_L	-1.93168739576347
APH_L	Pir_R	-1.78738879469992
APH_L	PoCG_L	1.36116140315317
APH_L	PoCG_R	-2.39488058479566
APH_L	POrG_L	-0.946043083449316
APH_L	POrG_R	-2.43406820395538
APH_L	PPH_L	-2.55329522515448
APH_L	PPH_R	-1.77722946062042
APH_L	PrCG_L	-0.582426048200763
APH_L	PrCG_R	-2.62925498882584
APH_L	PRG_L	-2.4862431518285
APH_L	PRG_R	-2.19094667365346
APH_L	Pu_L	-2.1196735541374
APH_L	Pu_R	-0.169598829368745
APH_L	ReG_L	-2.59562746985823
APH_L	ReG_R	-3.09871434672377
APH_L	RoG_L	-0.584164592153022
APH_L	RoG_R	-1.70501113487813
APH_L	SCG_L	-2.80360214986499
APH_L	SCG_R	-3.38470844275507
APH_L	SIG_L	-0.0978733454071138
APH_L	SIG_R	-1.37682557143835
APH_L	SMG_L	-4.2551267724773
APH_L	SMG_R	-3.08493768112895
APH_L	SOG_L	-3.06348839768071
APH_L	SOG_R	-2.90656766492472
APH_L	SPL_L	-2.33407632698026
APH_L	SPL_R	-3.66806905977081
APH_L	STG_L	-1.48190940538888
APH_L	STG_R	-2.54718832874473
APH_L	TP_L	-2.5377593273091
APH_L	TP_R	-2.40223084387829
APH_L	TTG_L	-2.26293519795484
APH_L	TTG_R	-0.618542011234054
APH_R	AON_L	-2.02460746954865
APH_R	AON_R	-2.19390660838579
APH_R	APH_L	-4.10925961346047
APH_R	APH_R	-4.10925961346047
APH_R	CaB_L	0.980956822844488
APH_R	CaB_R	0.684214183015467
APH_R	CEN_L	8.95472680548722
APH_R	CEN_R	1.86493172363994
APH_R	CgGc_L	-1.25990982221344
