dataset_name	Trait	disorder_type	roi	weighted_sum_Z	P_for_weighted_sum_Z	FDR_for_weighted_sum_Z	minuslog10_FDR_for_weighted_sum_Z	minuslog10_P_for_weighted_sum_Z	if.sig.fdr.weightedSum	if.sig.P.weightedSum	dataset_name2304	ROIGroupFine	regions
accumbens	volume_accumbens	structural MRI	A13	-0.297022432098222	0.616775308397065	0.945331321113632	0.0244159526411189	0.209873020886977	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A14	-0.314458116713584	0.623413438896082	0.945331321113632	0.0244159526411189	0.205223839891224	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A19	-0.232091078367102	0.591766362929608	0.945331321113632	0.0244159526411189	0.227849724557668	no	no	accumbens	CerebralCortex	Occipital_cortex
accumbens	volume_accumbens	structural MRI	A1C	-0.205673033830419	0.581476837953006	0.945331321113632	0.0244159526411189	0.235467579902928	no	no	accumbens	CerebralCortex	Temporal_cortex
accumbens	volume_accumbens	structural MRI	A23	-0.262581265589756	0.603563329309258	0.945331321113632	0.0244159526411189	0.219277154520092	no	no	accumbens	CerebralCortex	Limbic_cortex
accumbens	volume_accumbens	structural MRI	A25	-0.403405768415137	0.656675128055885	0.945331321113632	0.0244159526411189	0.182649432551514	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A29-A30	-0.182862819131595	0.572547171518361	0.945331321113632	0.0244159526411189	0.242188726479461	no	no	accumbens	CerebralCortex	Limbic_cortex
accumbens	volume_accumbens	structural MRI	A32	-0.342379365157994	0.633967292300144	0.945331321113632	0.0244159526411189	0.197933147701838	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A35-A36	-0.454060521827251	0.675107366639661	0.945331321113632	0.0244159526411189	0.170627153048804	no	no	accumbens	CerebralCortex	Temporal_cortex
accumbens	volume_accumbens	structural MRI	A38	-0.372612977021345	0.645281743471631	0.945331321113632	0.0244159526411189	0.190250621924781	no	no	accumbens	CerebralCortex	Temporal_cortex
accumbens	volume_accumbens	structural MRI	A40	-0.251359182948989	0.599231788952252	0.945331321113632	0.0244159526411189	0.222405155588384	no	no	accumbens	CerebralCortex	Parietal_cortex
accumbens	volume_accumbens	structural MRI	A43	-0.263760815971834	0.604017885040546	0.945331321113632	0.0244159526411189	0.218950201677841	no	no	accumbens	CerebralCortex	Parietal_cortex
accumbens	volume_accumbens	structural MRI	A44-A45	-0.290145797524306	0.614147649697103	0.945331321113632	0.0244159526411189	0.211727205829514	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A46	-0.321951798856554	0.626255394621642	0.945331321113632	0.0244159526411189	0.203248520055923	no	no	accumbens	CerebralCortex	Frontal_cortex
accumbens	volume_accumbens	structural MRI	A5-A7	-0.230303983678042	0.591072217359896	0.945331321113632	0.0244159526411189	0.228359453662204	no	no	accumbens	CerebralCortex	Parietal_cortex
accumbens	volume_accumbens	structural MRI	ACC	-0.460439348203175	0.677399551616801	0.945331321113632	0.0244159526411189	0.169155095158784	no	no	accumbens	CerebralCortex	Limbic_cortex
accumbens	volume_accumbens	structural MRI	ANC	-0.589958865647611	0.722390886301343	0.945331321113632	0.0244159526411189	0.141227741728332	no	no	accumbens	Thalamus	Thalamus
accumbens	volume_accumbens	structural MRI	AON	-0.158388764876843	0.562924766819922	0.945331321113632	0.0244159526411189	0.249549643404806	no	no	accumbens	CerebralCortex	Paleocortex
accumbens	volume_accumbens	structural MRI	BL	-0.645540884901447	0.740711633920271	0.945331321113632	0.0244159526411189	0.130350834087844	no	no	accumbens	Amygdala	Amygdala
accumbens	volume_accumbens	structural MRI	BM	-0.450755356452464	0.673917059775534	0.945331321113632	0.0244159526411189	0.171393549604556	no	no	accumbens	Amygdala	Amygdala
accumbens	volume_accumbens	structural MRI	BNST	0.279572489830487	0.389902757845953	0.945331321113632	0.0244159526411189	0.409043692965275	no	no	accumbens	Amygdala	Amygdala
accumbens	volume_accumbens	structural MRI	CA1	-0.2512768746279	0.599199973461553	0.945331321113632	0.0244159526411189	0.222428214543406	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA1-2R	-0.36161374247492	0.641179653145396	0.945331321113632	0.0244159526411189	0.193020267769677	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA1C-CA3C	0.348899348548239	0.363582437135063	0.945331321113632	0.0244159526411189	0.439397103556638	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA1R-CA2R-CA3R	0.331917911642581	0.369975622438794	0.945331321113632	0.0244159526411189	0.431826890498126	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA1U-CA2U-CA3U	-0.275764854785786	0.608635660408373	0.945331321113632	0.0244159526411189	0.215642605601136	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA2U-CA3U	0.0671645597430682	0.473225349308982	0.945331321113632	0.0244159526411189	0.324931999525629	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA3R	-0.246492587126382	0.597349528964644	0.945331321113632	0.0244159526411189	0.223771474430456	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CA4C-DGC	0.195343707974922	0.422561941039308	0.945331321113632	0.0244159526411189	0.374109621199806	no	no	accumbens	Hippocampus	Hippocampus
accumbens	volume_accumbens	structural MRI	CaB	-0.212797372190381	0.584257493253523	0.945331321113632	0.0244159526411189	0.233395708960916	no	no	accumbens	BasalForebrain	BasalForebrain
accumbens	volume_accumbens	structural MRI	CbDN	0.46583832096948	0.3206656165211	0.945331321113632	0.0244159526411189	0.493947604947458	no	no	accumbens	Cerebellum	Cerebellum
accumbens	volume_accumbens	structural MRI	CBL	0.671060514570462	0.251090989841781	0.945331321113632	0.0244159526411189	0.600168871246468	no	no	accumbens	Cerebellum	Cerebellum
accumbens	volume_accumbens	structural MRI	CBV	0.531969942373882	0.297373406783843	0.945331321113632	0.0244159526411189	0.526697871736818	no	no	accumbens	Cerebellum	Cerebellum
accumbens	volume_accumbens	structural MRI	CEN	0.0106136091444064	0.495765862059812	0.945331321113632	0.0244159526411189	0.304723381621212	no	no	accumbens	Amygdala	Amygdala
accumbens	volume_accumbens	structural MRI	Cla	-0.201904166983078	0.580004177807807	0.945331321113632	0.0244159526411189	0.236568878174404	no	no	accumbens	BasalForebrain	BasalForebrain
