roi	Clusters	n_cells_cluster	pct_cluster_per_roi	ROIGroupFine	regions	Supercluster	Cluster_ID2	Supercluster2	regions2
ITG	0	3	0.000101619131495156	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CbDN	0	3	5.7642424824671e-05	Cerebellum	Cerebellum	Miscellaneous	1	Misc	CBL
LP	0	2	7.64175454684396e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
Cla	0	1	2.48972986430972e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
DGR-CA4Rpy	0	3	0.00010073875083949	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
LEC	0	1	3.0539013589861e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
PB	0	3	0.000124197888635893	Pons	Pons	Miscellaneous	1	Misc	Pons
CA4C-DGC	0	3	5.32226302623876e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
GPe	0	5	9.83671060397403e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
CM-Pf	0	3	0.000123183050012318	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
PnRF	0	5	0.000100985619647762	Pons	Pons	Miscellaneous	1	Misc	Pons
PnEN	0	5	0.000105449637253248	Pons	Pons	Miscellaneous	1	Misc	Pons
SN	0	12	0.000201663725737333	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
GPi	0	12	0.000353273669335846	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
ANC	0	2	6.38834765387932e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
CA2U-CA3U	0	2	0.000160500762378621	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
TF	0	1	3.13489451079971e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
IC	0	2	6.19080047050084e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
Ig	0	1	2.56825127770501e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CM	0	2	0.00015451174289246	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
SN-RN	0	5	0.000101812258195887	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
DTg	0	1	3.83215175320943e-05	Pons	Pons	Miscellaneous	1	Misc	Pons
MN	0	1	3.55176700408453e-05	Hypothalamus	Hypothalamus	Miscellaneous	1	Misc	HTH
PAG	0	2	5.91821033319524e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
HTHtub	0	1	7.59128520458514e-05	Hypothalamus	Hypothalamus	Miscellaneous	1	Misc	HTH
STH	0	1	4.95982541414542e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
MD-Re	0	1	7.47272455537289e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
ETH	0	1	4.11065893862786e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
CBV	0	2	2.78264741074658e-05	Cerebellum	Cerebellum	Miscellaneous	1	Misc	CBL
LG	0	1	2.04683150483052e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
MoRF-MoEN	0	1	4.32525951557093e-05	Myelencephalon	Medulla	Miscellaneous	1	Misc	Medul
Sub	0	1	2.40569668976135e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
PN	0	1	2.97256324128296e-05	Pons	Pons	Miscellaneous	1	Misc	Pons
A1C	0	1	3.04971027752364e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
SEP	0	1	2.4500796275879e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
CEN	0	1	2.34197522190215e-05	Amygdala	Amygdala	Miscellaneous	1	Misc	Amyg
TH-TL	0	1	2.45839172013669e-05	CerebralCortex	Limbic_cortex	Miscellaneous	1	Misc	LimCx
A25	0	1	2.64781422935367e-05	CerebralCortex	Frontal_cortex	Miscellaneous	1	Misc	FrCx
IO	0	2	9.28763815361753e-05	Myelencephalon	Medulla	Miscellaneous	1	Misc	Medul
PAG-DR	0	1	7.09521782318717e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
FI	0	1	2.8613121977739e-05	CerebralCortex	Frontal_cortex	Miscellaneous	1	Misc	FrCx
Idg	0	1	2.51914550584442e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CA1	0	1	2.55447416149386e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
Pu	0	1	2.90562529056253e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
MTG	0	1	9.3195776367415e-06	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
GPi	1	152	0.00447479981158738	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
PB	1	60	0.00248395777271786	Pons	Pons	Miscellaneous	2	Misc	Pons
CbDN	1	187	0.00359304448073782	Cerebellum	Cerebellum	Miscellaneous	2	Misc	CBL
Pir	1	7	0.000189491351073333	CerebralCortex	Paleo_cortex	Miscellaneous	2	Misc	PalCx
PAG	1	40	0.00118364206663905	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
ANC	1	34	0.00108601910115949	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
MN	1	108	0.0038359083644113	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
VA	1	17	0.00198296978887204	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
SN	1	184	0.00309217712797244	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
MD-Re	1	14	0.0010461814377522	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
CA3R	1	5	0.000619041723412158	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
A35-A36	1	4	0.000168548794876117	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
STH	1	24	0.0011903580993949	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
V1C	1	9	0.000268785091386931	CerebralCortex	Occipital_cortex	Miscellaneous	2	Misc	OccCx
SpC	1	202	0.00835055808185201	SpinalCord	SpC	Miscellaneous	2	Misc	SC
SN-RN	1	79	0.00160863367949501	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
PnEN	1	73	0.00153956470389742	Pons	Pons	Miscellaneous	2	Misc	Pons
TF	1	7	0.00021944261575598	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
CA4C-DGC	1	23	0.000408040165344971	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
VPL	1	8	0.00116329794968736	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
CMN	1	2	5.21770890402025e-05	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
A44-A45	1	4	0.00010455056326616	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
DTg	1	12	0.000459858210385131	Pons	Pons	Miscellaneous	2	Misc	Pons
LP-VPL	1	12	0.000679501698754247	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
A38	1	9	0.000239094628340683	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
MG	1	5	0.000351469141009419	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
IC	1	25	0.000773850058812605	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
SEP	1	50	0.00122503981379395	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
ACC	1	7	0.00021768199769879	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
MoRF-MoEN	1	35	0.00151384083044983	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
CA1	1	53	0.00135387130559174	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
IO	1	58	0.00269341506454909	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
PnRF	1	106	0.00214089513653256	Pons	Pons	Miscellaneous	2	Misc	Pons
DGU-CA4Upy	1	12	0.000339462517680339	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
CBV	1	31	0.000431310348665721	Cerebellum	Cerebellum	Miscellaneous	2	Misc	CBL
DGR-CA4Rpy	1	18	0.000604432505036938	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
Pul	1	34	0.000731922588422707	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
Cla	1	47	0.00117017303622557	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
GPe	1	77	0.001514853433012	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
MTG	1	51	0.000475298459473817	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
CA1R-CA2R-CA3R	1	14	0.000487397298426403	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
A46	1	4	0.000128762272654112	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
TH-TL	1	11	0.000270423089215036	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
LEC	1	12	0.000366468163078333	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
ETH	1	14	0.000575492251407901	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
PAG-DR	1	18	0.00127713920817369	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
CM-Pf	1	10	0.000410610166707728	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
ITG	1	10	0.000338730438317187	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
HTHma	1	2	0.000198039409842559	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
STG	1	19	0.000468384074941452	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
A43	1	5	0.000116729700705047	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
HTHpo-HTHso	1	5	0.000249662955010736	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
MD	1	7	0.000334672021419009	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
NAC	1	3	9.95619275189168e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
Pu	1	10	0.000290562529056253	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
BM	1	9	0.000289482148600836	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
CEN	1	23	0.000538654301037495	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
PN	1	54	0.0016051841502928	Pons	Pons	Miscellaneous	2	Misc	Pons
PnAN	1	22	0.000942224506402844	Pons	Pons	Miscellaneous	2	Misc	Pons
Ig	1	8	0.000205460102216401	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
M1C	1	5	4.28904748833379e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
MoAN	1	51	0.00187431091510474	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
MoSR	1	16	0.00117448432797475	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
CA1C-CA3C	1	5	0.000135552784254189	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
CoA	1	8	0.000742252737056968	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
A5-A7	1	1	2.8336639274582e-05	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
SI	1	7	0.0001832220913493	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
Sub	1	11	0.000264626635873749	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
S1C	1	4	0.000104744946056353	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
