Clusters	Supercluster	roi	regions	n_cells_cluster	n_cells_roi	n_cells_region
83	Deep-layer near-projecting	Human ACC	Limbic_cortex	14	28494	125352
83	Deep-layer near-projecting	Human FI	Frontal_cortex	21	32607	310434
83	Deep-layer near-projecting	Human A13	Frontal_cortex	14	32634	310434
83	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	10	31649	125352
83	Deep-layer near-projecting	Human A23	Limbic_cortex	10	32979	125352
83	Deep-layer near-projecting	Human SEP	BasalForebrain	10	20447	186315
83	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	8	32527	143001
83	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	8	32230	125352
83	Deep-layer near-projecting	Human S1C	Parietal_cortex	25	35453	143001
83	Deep-layer near-projecting	Human V1C	Occipital_cortex	17	30599	112307
83	Deep-layer near-projecting	Human A25	Frontal_cortex	13	35100	310434
83	Deep-layer near-projecting	Human M1C	Frontal_cortex	106	110246	310434
83	Deep-layer near-projecting	Human A14	Frontal_cortex	3	13473	310434
83	Deep-layer near-projecting	Human A46	Frontal_cortex	8	27923	310434
83	Deep-layer near-projecting	Human AON	Paleocortex	21	29261	61436
83	Deep-layer near-projecting	Human MTG	Temporal_cortex	22	85093	403268
83	Deep-layer near-projecting	Human BM	Amygdala	2	26270	185429
83	Deep-layer near-projecting	Human A19	Occipital_cortex	4	26775	112307
83	Deep-layer near-projecting	Human A40	Parietal_cortex	4	35993	143001
83	Deep-layer near-projecting	Human STG	Temporal_cortex	5	27340	403268
83	Deep-layer near-projecting	Human A43	Parietal_cortex	10	39028	143001
83	Deep-layer near-projecting	Human Idg	Temporal_cortex	17	36450	403268
83	Deep-layer near-projecting	Human TF	Temporal_cortex	11	29403	403268
83	Deep-layer near-projecting	Human Pro	Occipital_cortex	9	25284	112307
83	Deep-layer near-projecting	Human A1C	Temporal_cortex	10	30175	403268
83	Deep-layer near-projecting	Human SI	BasalForebrain	2	33357	186315
