Supercluster_ID	X1	X2	cluster	Supercluster	Neuron	Neuron_type	Top_regions	Nota_bene
amygdala_excitatory	-3.96994899491188	-2.76338210030313	3	Amygdala excitatory	TRUE	excitatory	Amygdala (0.57), Cerebral cortex (0.36), Hippocampus (0.05), Hypothalamus (0.02)	TRUE
astrocyte	13.1020790503603	-10.1755202759038	1	Astrocyte	FALSE	-	Cerebral cortex (0.26), Hippocampus (0.18), Basal forebrain (0.11), Midbrain (0.08), Thalamus (0.06), Pons (0.05), Amygdala (0.04), Cerebellum (0.04), Medulla (0.03), Hypothalamus (0.02)	FALSE
bergmann_glia	13.3957101190404	-10.4927081377737	1	Bergmann glia	FALSE	-	Cerebellum (0.96), Medulla (0.02), Pons (0.02)	FALSE
cerebellar_inhibitory	-7.51653515990955	13.6244474316128	2	Cerebellar inhibitory	TRUE	inhibitory	Cerebellum (0.81), Pons (0.11), Medulla (0.05)	FALSE
cge_interneuron	-9.53273340493219	13.2344589718446	2	CGE interneuron	TRUE	inhibitory	Cerebral cortex (0.72), Hippocampus (0.12), Amygdala (0.1)	TRUE
choroid_plexus	12.9132735645605	-9.66900468073625	1	Choroid plexus	FALSE	-	Basal forebrain (0.8), Medulla (0.19)	FALSE
committed_oligodendrocyte_precursor	12.8603490195701	-10.8879487919307	1	Committed oligodendrocyte precursor	FALSE	-	Thalamus (0.26), Cerebral cortex (0.12), Amygdala (0.1), Hippocampus (0.09), Hypothalamus (0.08), Basal forebrain (0.06), Pons (0.02)	FALSE
deep_layer_corticothalamic_and_6b	-4.55570242518031	-3.47018372458702	3	Deep-layer corticothalamic and 6b	TRUE	excitatory	Cerebral cortex (0.75), Hippocampus (0.15), Amygdala (0.05), Basal forebrain (0.03)	FALSE
deep_layer_intratelencephalic	-4.48154789933311	-3.80576666821845	3	Deep-layer intratelencephalic	TRUE	excitatory	Cerebral cortex (0.84), Amygdala (0.07), Basal forebrain (0.06)	TRUE
deep_layer_near_projecting	-4.27419141655973	-3.5319995640749	3	Deep-layer near-projecting	TRUE	excitatory	Cerebral cortex (0.92), Basal forebrain (0.04)	FALSE
eccentric_medium_spiny_neuron	-3.62041617901457	-1.9616332548153	3	Eccentric medium spiny neuron	TRUE	inhibitory	Amygdala (0.44), Basal forebrain (0.33), Cerebral cortex (0.07), Hypothalamus (0.05), Thalamus (0.02)	TRUE
ependymal	13.3580147042281	-9.91683512096501	1	Ependymal	FALSE	-	Hippocampus (0.31), Basal forebrain (0.16), Medulla (0.15), Amygdala (0.07), Thalamus (0.06), Pons (0.05), Hypothalamus (0.02), Spinalcord (0.02)	FALSE
fibroblast	12.9407196564359	-9.30267707016097	1	Fibroblast	FALSE	-	Thalamus (0.27), Cerebral cortex (0.11), Pons (0.11), Basal forebrain (0.08), Medulla (0.03)	FALSE
hippocampal_ca1_3	-4.41521061557925	-2.41858388848643	3	Hippocampal CA1-3	TRUE	excitatory	Hippocampus (0.98)	TRUE
hippocampal_ca4	-4.61196530900636	-2.52352167119682	3	Hippocampal CA4	TRUE	excitatory	Hippocampus (0.99)	TRUE
